image_id,gardiner_code,filename
hiero_0163,,hiero_0163.png
hiero_0164,,hiero_0164.png
hiero_0165,,hiero_0165.png
hiero_0166,,hiero_0166.png
hiero_0167,,hiero_0167.png
hiero_0168,,hiero_0168.png
hiero_0169,,hiero_0169.png
hiero_0170,,hiero_0170.png
hiero_0171,,hiero_0171.png
hiero_0172,,hiero_0172.png
hiero_0173,,hiero_0173.png
hiero_0174,,hiero_0174.png
hiero_0175,,hiero_0175.png
hiero_0176,,hiero_0176.png
hiero_0177,,hiero_0177.png
hiero_0178,,hiero_0178.png
hiero_0179,,hiero_0179.png
hiero_0180,,hiero_0180.png
hiero_0181,,hiero_0181.png
hiero_0182,,hiero_0182.png
hiero_0183,,hiero_0183.png
hiero_0184,,hiero_0184.png
hiero_0185,,hiero_0185.png
hiero_0186,,hiero_0186.png
