gardiner_code,unicode_cp,unicode,hieroglyphica_code,jsesh_code,category,description,function,core
T007,1330E,U+1330E,T7,T7,T-03-007,An axe with a round blade and a curved handle.,"Logogram (carpenter, shipwright)",C
T007A,1330F,U+1330F,T7A,T7A,T-03-005,"An axe with a hourglass-shaped blade, with a straight handle, written vertically.","Classifier axe, battle-axe",C
T008,13310,U+13310,T8,T8,T-05-004,A dagger within a round tipped sheath.,Phonemogram,C
T008A,13311,U+13311,T8A,T8A,T-05-005,A dagger with a pointed tip.,Phonemogram,C
T009,13312,U+13312,T9,T9,T-06-001,"A bow, written horizontally, with a rectangular central section, with the tips of the bow forming a bowl-shaped loop.","Classifier bow, weapon",C
T009A,13313,U+13313,T9A,T9A,T-06-010,"A bow, written horizontally, with a straight middle section, with the limbs forming a bowl-shaped loop.",Phonemogram,C
T010,13314,U+13314,T10,T10,T-06-004,"A composite bow, with handle bound to the bowstring when out of use.",Logogram (bow),C
T011,13315,U+13315,T11,T11,T-07-007,An arrow with rounded fletching.,Phonemogram,C
T011A,13316,U+13316,T60B,,T-07-021,,,C
T012,13317,U+13317,T12,T12,T-08-001,"A bowstring, coiled up, with a loop at the front end, and the back end angled downwards, with a loop on it.",Phonemogram,C
T013,13318,U+13318,T13,T13,T-09-004,"Pieces of wood, lashed together with the top piece at an angle, with a loop and tie at the back.",Phono-repeater,C
T014,13319,U+13319,T14,T14,T-09-006,"A throwing-stick, or a club used by foreign people.",Phono-repeater,C
T015,1331A,U+1331A,T15,T15,T-09-022,"A throwing-stick, or a club used by foreign people (T14), angled backwards.",Phonemogram,C
T016,1331B,U+1331B,T16,T16,T-10-001,"A scimitar (khopesh), written horizontally.","Classifier curved blade, scimitar",C
T016A,1331C,U+1331C,T16A,T16A,T-10-002,"A scimitar (khopesh), written vertically, blade curving forwards, with a handle resembling a stem of papyrus with a bud (M13).","Classifier strong arm, power, strength",C
T017,1331D,U+1331D,T17,T17,T-11-001,A chariot.,Logogram (chariot),C
T018,1331E,U+1331E,T18,T18,T-12-002,"A shepherd's crook with a package lashed to it, with a tie above and below the package.","Logogram (follower, retainer)",C
T019,1331F,U+1331F,T19B,T19B,T-13-004,A harpoon-head with two horizontal strokes on top and an angled stroke below a curl as point. ,Classifier bone,C
T020,13320,U+13320,T20,T20,T-13-005,"A harpoon-head with one horizontal stroke on top, and two angled strokes as point.",Classifier harpoon,C
T021,13321,U+13321,T21,T21,T-13-031,"An one-barbed harpoon, with handle, written horizontally.","Logogram (one, sole)",C
T022,13322,U+13322,T22,T22,T-13-048,"A two-barbed arrowhead, with the point facing downwards.",Phonemogram,C
T023,13323,U+13323,T23,T23,T-13-054,"A rounded two-barbed arrowhead, with the point facing downwards.",Phonemogram,C
T024,13324,U+13324,T24,T24,T-14-011,A net used for fishing or fowling.,"Classifier catching, netting",C
T025,13325,U+13325,T25,T25,T-15-009,"A float, made of reed, with a tie towards the front at the top.",Phonemogram,C
T026,13326,U+13326,T26,T26,T-16-014,"A bird trap consisting of a horizontal beam and vertical beam, with two lines running from the horizontal beam to the vertical beam, crossing in the middle.","Classifier catching, netting",C
T027,13327,U+13327,T27,T27,T-16-020,"A bird trap, with a horizontal and vertical pole, with one line running from the front of the horizontal beam to the middle of the vertical beam, and one line running from the middle of the horizontal beam to the top of the vertical beam.","Classifier weaving, woven material",C
T028,13328,U+13328,T28,T28,T-17-002,A butcher's block.,Phonemogram,C
T029,13329,U+13329,T29,T29,T-18-048,"A knife with a rounded blade and rounded handle (T30), written on top of a butcher's block (T28).",Logogram (place of slaughter),C
T030,1332A,U+1332A,T30,T30,T-18-042,A knife with a rounded blade and rounded handle.,"Classifier cutting, slaughter",C
T031,1332B,U+1332B,,T31,T-18-039,A knife sharpener with a rounded body and a loop at the back.,Phonemogram,C
T032,1332C,U+1332C,,T32,T-18-056,"A knife sharpener with a rounded body and a loop at the back (T31), on top of legs in a walking posture, feet orientated towards the reading direction (D54)",Phonemogram,C
T032A,1332D,U+1332D,S123,S123,S-15-032,"A knife sharpener with a rounded body and a loop at the back (T31), written over a folded piece of cloth (S29).",Phonemogram,L
T033,1332E,U+1332E,T33,T33,T-19-004,"A knife sharpener, with a thin, curved body, and a loop at the end.",Logogram (butcher),C
T033A,1332F,U+1332F,,,T-19-005,,,L
T034,13330,U+13330,T34,T34,T-19-001,"A vertical slaughtering knife, with cup-shaped handle.",Classifier knife,C
T035,13331,U+13331,T35,T35,T-19-003,"A vertical slaughtering knife, without distinct handle.",Logogram (knife),C
T036,13332,U+13332,,,T-02-001,"A shield with a rounded top, with a loop on top, with a boss in the center of the shield.",Classifier shield,C
U001,13333,U+13333,U1,U1,U-01-001,A sickle.,Phonemogram,C
U002,13334,U+13334,U2,U2,U-01-003,A sickle with a more horizontal blade.,Phonemogram,C
U003,13335,U+13335,U3,U3,U-01-004,"An eye (D4), written above the blade of a sickle (U1).","Phonemogram (in mꜣꜣ, to see)",L
U004,13336,U+13336,U4,U4,U-01-007,"A platform with a sloping front (Aa11), written above the blade of a sickle (U1).",Phonemogram,L
U005,13337,U+13337,U5,U5,U-01-006,"A platform with a sloping front (Aa11), written above the blade of a sickle with a more horizontal blade (U2).",Phonemogram,L
U006,13338,U+13338,U6,U6,U-02-001,"A hoe with a rope connecting the two pieces, written at an angle.",Phonemogram,C
U006A,13339,U+13339,,,U-02-003,,,L
U006B,1333A,U+1333A,,,U-02-004,,,L
U007,1333B,U+1333B,U7,U7,U-02-006,"A hoe with a rope connecting the two pieces, written horizontally.",Phonemogram,L
U008,1333C,U+1333C,U8,U8,U-02-010,A hoe without a rope connecting the two pieces.,Phonemogram,C
U009,1333D,U+1333D,U9,U9,U-03-008,"A grain measure, with a forward and downward line of grain coming from the front.",Classifier grain/barley,C
U010,1333E,U+1333E,U10,U10,U-03-007,"A grain measure, with a forward and downward line of grain coming from the front, with three grains of corn, arranged horizontally (M33), above the grain measure.","Logogram (harvest, crop)",C
U011,1333F,U+1333F,U11,U11,U-03-009,"A grain measure, with a forward and downward line of grain coming from the front, with a hook on top of the measure, resembling a crook (S38).","Logogram (bushel (a corn measure, 10 hin))",C
U012,13340,U+13340,U12,U12,U-03-010,"A grain measure, with a forward and downward line of grain coming from the front, with a vertical human finger (D50) on top of the measure.","Logogram (bushel (a corn measure, 10 hin))",C
U013,13341,U+13341,U13,U13,U-05-014,"A plough, with a crossbar and two vertical lines on the end of the long beam.",Classifier plough/plowed material,C
U014,13342,U+13342,U14,U14,U-05-008,"Two branches of wood, joined at one end.",Phono-repeater,C
U015,13343,U+13343,U15,U15,U-06-001,A sledge.,Phonemogram,C
U016,13344,U+13344,U16,U16,U-06-005,"A sledge, with the head of a canine at the front, with a rectangle on the sledge.",Phonemogram,C
U017,13345,U+13345,U17,U17,U-07-002,"A hoe or pick excavating a rectangular pool, with the handle angling downwards.",Phonemogram,C
U018,13346,U+13346,U18,U18,U-07-001,"A hoe or pick excavating a rectangular pool with sloping sides (N38), with the handle angling downwards.","Logogram (to found, to establish, to hunt, to lay (a trap))",C
U019,13347,U+13347,U19,U19,U-08-001,An adze.,Phonemogram,C
U020,13348,U+13348,U20,U20,U-08-007,An adze without the downward curve at the end of the handle.,Phonemogram,C
U021,13349,U+13349,U21,U21,U-08-012,"An adze, with an attached blade at the front (U19A), in a piece of wood.",Phonemogram,C
U022,1334A,U+1334A,U22,U22,U-09-008,A chisel with a conical handle and short blade.,Phono-repeater,C
U023,1334B,U+1334B,U23,U23,U-09-025,"A hairpin or burin, with a horizontal line above and below the oval of the pin.",Phonemogram,C
U023A,1334C,U+1334C,U23A,U23A,U-09-026,"A hairpin or burin, without the horizontal line on the top.",Phonemogram,C
U024,1334D,U+1334D,U24,U24,U-09-085,"A drill, with a half-circle handle, with a backward tick on top of the handle, with a forked drill-bit with a horizontal line on top of the forked drill-bit, with a short vertical stroke next to the drill, connected to the handle.",Logogram (craftsman),C
U025,1334E,U+1334E,,U25,U-09-076,"A stoneworker's drill weighted at the top with stones, lashed together with strings.",Logogram (craft),C
U026,1334F,U+1334F,U26,U26,U-09-088,"A drill with a truncated pyramid-shaped handle, with a round drill-bit with a horizontal line over it. ",Logogram (to open),C
U027,13350,U+13350,U27,U27,U-09-015,"A drill for drilling holes in beads, with a rectangular handle, and a round drill bit.",Classifier to open,C
U028,13351,U+13351,U28,U28,U-10-001,A fire-drill in a piece of wood.,Phonemogram,C
U029,13352,U+13352,U29,U29,U-10-003,A fire-drill on top of a piece of wood.,Phonemogram,C
U029A,13353,U+13353,U29A,U29A,U-10-006,"A spiral, winding counterclockwise away from its central point, ending at the right lower corner after about one and a half turns (Z7), written behind a fire-drill in a piece of wood (U28).",Phonemogram,L
U030,13354,U+13354,U30,U30,U-11-005,A pottery kiln.,Phonemogram,C
U031,13355,U+13355,U31,U31,U-20-001,A baker's raker or two crossed castanet sticks.,Classifier to restrain,C
U032,13356,U+13356,U32,U32,U-12-001,"A pestle, inside a round-bottomed mortar.","Logogram (to pound, to crush)",C
U032A,13357,U+13357,,,U-12-008,A pestle with a handle/tick at the front.,Phono-repeater,C
U033,13358,U+13358,U33,U33,U-12-011,A pestle.,Phonemogram,C
U034,13359,U+13359,U34,U34,U-13-001,A spindle.,Phonemogram,C
U035,1335A,U+1335A,U35,U35,U-13-007,"A horned desert viper (Cerastes cerastes) (I9), written over a spindle (U34).",Phonemogram,L
U036,1335B,U+1335B,U36,U36,U-14-001,A club used by washermen for beating laundry.,Phonemogram,C
U037,1335C,U+1335C,U37,U37,U-15-002,A razor.,Logogram (razor),C
U038,1335D,U+1335D,U38,U38,U-16-004,"A balance, with a plummet resembling a heart (F34).",Logogram (balance),C
U039,1335E,U+1335E,U39,U39,U-16-033,"The pole of a balance, on a horizontal base, with a angled line on each side as support.","Classifier balance, scale",C
U040,1335F,U+1335F,U40,U40,U-16-026,The semi-Hieratic form of a pole of a balance.,Phonemogram,C
U041,13360,U+13360,U41,U41,U-22-001,The plummet of a balance.,Classifier plummet,C
U042,13361,U+13361,U116,U116,U-04-001,A staff or pole with a two-pronged end piece for holding down snakes.,Logogram (staff),C
V001,13362,U+13362,V1,V1,V-01-003,A coil of rope.,Logogram (100),C
V001A,13363,U+13363,,,V-01-005,,200,C
V001B,13364,U+13364,,,V-01-006,,300,C
V001C,13365,U+13365,,,V-01-007,,400,C
V001D,13366,U+13366,,,V-01-008,,500,C
V001E,13367,U+13367,,,V-01-009,,600,C
V001F,13368,U+13368,,,V-01-010,,700,C
V001G,13369,U+13369,,,V-01-011,,800,C
V001H,1336A,U+1336A,,,V-01-012,,900,C
V001I,1336B,U+1336B,,,V-01-013,,500,C
V002,1336C,U+1336C,V2,V2,V-01-019,"A horizontal line, intersected in the middle by a coil of rope (V1).","Logogram (to drag, to pull, to draw)",C
V002A,1336D,U+1336D,,Ff6,V-01-052,"Hieroglyphic representation of the Hieratic form of a horizontal line, intersected in the middle by a coil of rope (V2).",Phonemogram,C
V003,1336E,U+1336E,V3,V3,V-01-021,"A horizontal line, intersected in the middle by three coils of rope (V1).",Phonemogram,C
V004,1336F,U+1336F,V4,V4,V-01-029,"A lasso, with a big loop at the front, with a tie at the front and a small loop at the back, with an upward, downward curving line behind the loop.",Phonemogram,C
V005,13370,U+13370,V5,V5,V-01-036,"A looped rope, with two small loops at the bottom, and a small loop within a big loop above the small loops.",Logogram (foundation),C
V006,13371,U+13371,V6,V6,V-01-041,A loop of cord with the ends upwards.,Phonemogram,C
V007,13372,U+13372,V7,V7,V-01-045,A loop of cord with the ends downwards.,Phonemogram,C
V007A,13373,U+13373,V60,V60,V-04-003,A folded piece of cloth.,Classifier cloth,C
V007B,13374,U+13374,V49A,V49A,V-01-047,"A loop of cord with the ends downwards (V7), on top of a vertical line, on top of a horizontal base.",Phonemogram,C
V008,13375,U+13375,V8,V8,V-01-048,"A half-round loaf of bread (X1), written inside a loop of cord with the ends downwards (V7).",Phonemogram,C
V009,13376,U+13376,V9,V9,V-02-003,A cartouche in a round form.,"Logogram (to surround, to encircle)",C
V010,13377,U+13377,V10,V10,V-03-005,An oval cartouche.,Logogram (name),C
V011,13378,U+13378,V11,V11,V-03-017,"The rear half of a cartouche, with the opening to the back.","Classifier half, part, portion",C
V011A,13379,U+13379,V11A,V11A,V-03-018,,,C
V011B,1337A,U+1337A,,,V-03-019,,,C
V011C,1337B,U+1337B,,,V-03-020,,,C
V012,1337C,U+1337C,V12,V12,V-04-005,A band of string or fabric.,Classifier papyrus/book/document,C
V012A,1337D,U+1337D,H27,H27,H-08-007,A feather bent forward.,Phonemogram,C
V012B,1337E,U+1337E,,,V-04-007,"A wide band of string or fabric, with the shorter section lying on top of the larger section.",Classifier papyrus/book/document,C
V013,1337F,U+1337F,V13,V13,V-04-011,A rope used for the tethering of animals.,Phonemogram,C
V014,13380,U+13380,V14,V14,V-04-013,"A rope used for the tethering of animals, with an diacritic stroke added to the large loop.",Phonemogram,C
V015,13381,U+13381,V15,V15,V-04-017,"A rope used for the tethering of animals (V13), written on top of legs in a walking posture, feet orientated towards the reading direction (D54).",Phonemogram,C
V016,13382,U+13382,V16,V16,V-04-022,"A looped cord, used as a hobble for cattle, with two horizontal loops and eight vertical loops.",Phonemogram,C
V017,13383,U+13383,V17,V17,V-04-026,A rolled-up herdsman's shelter of papyrus with a rectangle at either side of the loop.,Logogram (protection),C
V018,13384,U+13384,V18,V18,V-04-030,A rolled-up herdsman's shelter of papyrus.,Logogram (protection),C
V019,13385,U+13385,V19,V19,V-04-031,A hobble for cattle with a crossbar.,Logogram (stable),C
V020,13386,U+13386,V20,V20,V-04-038,A hobble for cattle without a crossbar.,Logogram (10),C
V020A,13387,U+13387,,,V-04-040,,20,C
V020B,13388,U+13388,,,V-04-041,,30,C
V020C,13389,U+13389,,,V-04-042,,40,C
V020D,1338A,U+1338A,,,V-04-043,,50,C
V020E,1338B,U+1338B,,,V-04-044,,60,C
V020F,1338C,U+1338C,,,V-04-045,,70,C
V020G,1338D,U+1338D,,,V-04-046,,80,C
V020H,1338E,U+1338E,,,V-04-047,,90,C
V020I,1338F,U+1338F,,,V-04-048,,20,C
V020J,13390,U+13390,,,V-04-049,,30,C
V020K,13391,U+13391,,,V-04-050,,40,C
V020L,13392,U+13392,,,V-04-051,,50,C
V021,13393,U+13393,,V21,V-04-055,"A cobra in repose (Naja haje) (I10), written over a hobble for cattle without a crossbar (V20).",Logogram (stable),C
V022,13394,U+13394,V22,V22,V-05-001,A whip.,Phonemogram,C
V023,13395,U+13395,V23,V23,V-05-002,"A whip, without internal detail.",Phonemogram,C
V023A,13396,U+13396,V23A,V23A,V-05-003,A whip with a loop at the front.,Phonemogram,C
V024,13397,U+13397,V24,V24,V-06-001,A string wound on a stick.,Phonemogram,C
V025,13398,U+13398,V25,V25,V-06-002,"A string wound on a stick, with a tie sticking out at the front.",Phonemogram,C
V026,13399,U+13399,V26,V26,V-07-001,"A double forked tool for the mending of nets, with a broad middle section.",Phonemogram,C
V027,1339A,U+1339A,V27,V27,V-07-002,"A double forked tool for the mending of nets, with a thin middle section.",Phonemogram,C
V028,1339B,U+1339B,V28,V28,V-08-001,"A wick of twisted flax, consisting of three loops.",Phonemogram,C
V028A,1339C,U+1339C,V71,V71,V-08-009,"A forearm, with the palm of the hand facing upwards (D36), written over a wick of twisted flax, consisting of three loops (V28).",Phonemogram,L
V029,1339D,U+1339D,V29,V29,V-08-032,A swab made from a hank of fiber with two loops.,Phonemogram,C
V029A,1339E,U+1339E,V90,V90,V-08-047,"A swab made from a hank of fiber with two loops (V29), written over a wickerwork basket with a handle, orientated with the handle to the back (V31).",Phonemogram,L
V030,1339F,U+1339F,V30,V30,V-09-001,A wickerwork basket.,Phonemogram,C
V030A,133A0,U+133A0,,,V-09-002,,,L
V031,133A1,U+133A1,V31,V31,V-09-009," A wickerwork basket with a handle, orientated with the handle to the back.",Phonemogram,C
V031A,133A2,U+133A2,V31A,V31A,V-09-010," A wickerwork basket with a handle, orientated with the handle to the front.",Phonemogram,L
V032,133A3,U+133A3,V32,V32,V-11-003,A wickerwork frail with ties.,Phonemogram,C
V033,133A4,U+133A4,V33,V33,V-12-003,"A bag or a sack of linen, with a tie towards the front, and a (small) loop at the back.",Classifier linen,C
V033A,133A5,U+133A5,,US1V33AEXTU,V-12-005,"An oval bag or sack with linen, without ties or loops, with three horizontal lines over the bag.","Classifier sack, bundle",C
V034,133A6,U+133A6,V34,V34,V-12-006,"A bag or a sack of linen, with a tie towards the front, and a (small) loop at the back, with a horizontal line over the bag.",Classifier (perfume),C
V035,133A7,U+133A7,V35,V35,V-13-001,"A bag or sack of linen, with a hollow bottom.",Logogram (linen),C
V036,133A8,U+133A8,V36,V36,V-14-009,"A sheath or receptacle with V shaped indentation at the top, bound at the top with a tie at the backside.",Phonemogram,C
V037,133A9,U+133A9,V37,V37,V-15-002,A fastening knot of a dress on the shoulder.,Phono-repeater,C
V037A,133AA,U+133AA,F143A,F143A,V-15-006,"A basket-shaped bag with a tied off end at the front, resembling a loop / A uterus of a cow, tied off at the front.",Phonemogram,C
V038,133AB,U+133AB,V38,V38,V-15-001,A bandage.,"Classifier to bandage, to wrap",C
V039,133AC,U+133AC,V39,V39,S-18-001,"A tie or straps with a loop at the top, and a downward hanging loop at either side of the strings.",Logogram (Tit-amulet),C
V040,133AD,U+133AD,V20h,V20h,V-04-052,,10,C
V040A,133AE,U+133AE,,,V-04-053,,20,C
W001,133AF,U+133AF,W1,W1,W-01-001,"A sealed ointment jar, with ties.","Classifier oil, unguent",C
W002,133B0,U+133B0,W2,W2,W-01-002,"A sealed ointment jar, without ties.",Phonemogram,C
W003,133B1,U+133B1,W3,W3,W-02-001,An alabaster basin with a diamond shaped inner marking.,Logogram (festival),C
W003A,133B2,U+133B2,,,W-02-002,,,L
W004,133B3,U+133B3,W4,W4,O-11-013,"An open booth supported by a pole (O22), on top of an alabaster basin with a diamond shaped inner marking (W3).",Logogram (festival),C
W005,133B4,U+133B4,W5,W5,W-02-009,"A butcher's block (T28), on top of an alabaster basin with a diamond shaped inner marking (W3).",Logogram (lector priest),C
W006,133B5,U+133B5,W6,W6,W-11-077,A flat bottom cauldron with handles and an upstanding rim.,Classifier cauldron,C
W007,133B6,U+133B6,W7,W7,W-11-012,A granite vessel with small handles.,Classifier granite,C
W008,133B7,U+133B7,W8,W8,W-11-119,"A low broad oval, with a triangular shape at both short ends of the oval.",Phono-repeater,C
W009,133B8,U+133B8,W9,W9,W-03-007,"A stone jug with a large handle connecting to the rim, and a small round handle.",Phonemogram,C
W009A,133B9,U+133B9,,W9R,W-03-008,,,L
W010,133BA,U+133BA,W10,W10,W-04-001,A wide cup.,Phonemogram,C
W010A,133BB,U+133BB,W10A,W10A,W-04-002,A wide cup with a spout.,Phonemogram,C
W011,133BC,U+133BC,W11,W11,W-05-005,A ring-stand for jars.,Phonemogram,C
W012,133BD,U+133BD,W12,W12,W-05-007,"A ring-stand for jars, with a level bottom.",Phonemogram,C
W013,133BE,U+133BE,W13,W13,W-05-008,A red earthenware pot.,Classifier red (earthenware) vessel,C
W014,133BF,U+133BF,W14,W14,W-06-001,A tall water pot.,Phonemogram,C
W014A,133C0,U+133C0,,,W-06-033,,,L
W015,133C1,U+133C1,W15,W15,W-06-018,"A tall water pot, with a forward, downward line of liquid coming from the top of the vessel.","Logogram (to be cool, to cool)",C
W016,133C2,U+133C2,W16,W16,W-06-032,"A tall water pot with a spout at the back, with a forward, downward line of liquid coming from the top of the vessel; inside a ring-stand.",Classifier libation water,C
W017,133C3,U+133C3,W17,W17,W-06-034,Three sealed water pots in a rack.,Phonemogram,C
W017A,133C4,U+133C4,,US22W17BVARE,W-06-051,"A schematic representation of three sealed water pots in a rack, without horizontal line at the bottom, with the downward curving lines descending to the bottom.",Phonemogram,C
W018,133C5,U+133C5,W18,W18,W-06-037,Four sealed water pots in a rack.,Phonemogram,C
W018A,133C6,U+133C6,,US22W17BVARD,W-06-052,,,C
W019,133C7,U+133C7,W19,W19,W-07-001,A milk jar in a carrying sling.,Phonemogram,C
W020,133C8,U+133C8,W20,W20,W-07-006,"A milk jar with two horizontal lines over the jar, with a leaf covering the milk.",Classifier milk,C
W021,133C9,U+133C9,W21,W21,W-10-007,"A twin set of conical wine jars, bound together.",Classifier wine,C
W022,133CA,U+133CA,W22,W22,W-11-042,A beer-jug.,Logogram (beer),C
W023,133CB,U+133CB,W23,W23,W-11-013,A flat bottom jar with handles.,Logogram (beer),C
W024,133CC,U+133CC,W24,W24,W-11-020,A round vessel with an upstanding rim.,Phonemogram,C
W024A,133CD,U+133CD,,,W-11-027,,,L
W025,133CE,U+133CE,W25,W25,W-11-023,"A round vessel with an upstanding rim (W24), on top of long legs in a walking posture, feet orientated towards the reading direction.",Phonemogram,C
X001,133CF,U+133CF,X1,X1,X-01-001,A half round loaf of bread.,Phonemogram,C
X002,133D0,U+133D0,X2,X2,X-02-001,A loaf of bread with a horizontal line inside the bread.,Logogram (bread),C
X003,133D1,U+133D1,X3,X3,X-03-010,"A loaf of bread, without internal detail.",Classifier bread/food,C
X004,133D2,U+133D2,X4F,X4F,X-04-010,"A roll of bread, with a diamond in the middle.",Classifier festival,C
X004A,133D3,U+133D3,,X4A,X-04-008,"An roll of bread, with round imprints at the var sides and in the middle.",Phonemogram,C
X004B,133D4,U+133D4,,,X-04-011,A roll of bread without internal detail.,"Classifier bread, festival; Phonemogram t; Logogram t (bread); Phono-repeater: sn, fḳꜣ",C
X005,133D5,U+133D5,X5,X5,X-05-001,"An horizontal oval shape, with two upward curving strokes added at the front short side.",Phono-repeater,C
X006,133D6,U+133D6,X6,X6,X-06-007,A round loaf with a finger mark at the bottom.,"Classifier offering, cake, loaf",C
X006A,133D7,U+133D7,,US1X6AEXTU,X-06-005,,,L
X007,133D8,U+133D8,X7,X7,X-08-001,A half loaf of bread.,Classifier food,C
X008,133D9,U+133D9,X8,X8,X-07-001,"A conical loaf of bread, with a triangular finger mark at the bottom.",Phonemogram,C
X008A,133DA,U+133DA,,,X-07-002,A conical loaf of bread without internal detail.,Classifier bread,C
Y001,133DB,U+133DB,Y1,Y1,Y-01-006,"A papyrus scroll, rolled-up, tied and sealed, written horizontally, with ties.",Classifier abstract words,C
Y001A,133DC,U+133DC,Y1v,Y1v,Y-01-005,"A papyrus scroll, rolled-up, tied and sealed, written vertically, with ties.","Logogram (papyrus scroll, book)",L
Y002,133DD,U+133DD,Y2,Y2,Y-01-002,"A papyrus scroll, rolled-up, tied and sealed, written horizontally.","Classifier writing, things written",C
Y003,133DE,U+133DE,Y3,Y3,Y-02-005,"A scribe's kit, consisting of a palette, ink or paint pouch and a reed pen.",Logogram (scribe),C
Y004,133DF,U+133DF,Y4,Y4,Y-02-003,"A scribe's kit, consisting of a palette, ink or paint pouch and reed pen, with the reed pen towards the front.",Logogram (scribe),L
Y005,133E0,U+133E0,Y5,Y5,Y-03-002,A game board (of Senet) with game pieces.,Phonemogram,C
Y006,133E1,U+133E1,Y6,Y6,Y-03-005,"A game piece, pawn, or draughtsman.","Classifier game, gamepiece",C
Y007,133E2,U+133E2,Y7,Y7,Y-04-001,A rounded harp.,Classifier harp,C
Y008,133E3,U+133E3,Y8,Y8,Y-06-016,"A sistrum, with the top piece in the form of a shrine encased by two curls.",Classifier sistrum,C
Z001,133E4,U+133E4,Z1,Z1,Z-01-001,A vertical stroke.,Classifier semogram,C
Z002,133E5,U+133E5,Z2,Z2,Z-01-011, Three vertical strokes in a horizontal orientation.,Classifier plural,C
Z002A,133E6,U+133E6,,Z2D,Z-01-017,,,C
Z002B,133E7,U+133E7,,,Z-01-012,,,C
Z002C,133E8,U+133E8,Z2A,Z2A,Z-01-014, Three vertical strokes in a triangular orientation with one stroke a the top.,Classifier plural,C
Z002D,133E9,U+133E9,Z2B,Z2B,Z-01-015, Three vertical strokes in a triangular orientation with one stroke a the bottom.,Classifier plural,L
Z003,133EA,U+133EA,Z3,Z3,Z-01-002,Three vertical strokes in a vertical orientation.,Classifier plural,C
Z003A,133EB,U+133EB,Z3A,Z3A,Z-01-018,Three horizontal strokes arranged vertically.,Classifier plural,L
Z003B,133EC,U+133EC,,,Z-01-013,,,L
Z004,133ED,U+133ED,Z4,Z4,Z-01-008,Two diagonal strokes arranged horizontally.,Phonemogram,C
Z004A,133EE,U+133EE,Z4A,Z4A,Z-01-009,Two vertical strokes arranged horizontally.,Logogram (two),C
Z005,133EF,U+133EF,Z5,Z5,Z-01-005,"A doubly curved, diagonal stroke.",Substitute for dangerous signs,C
Z005A,133F0,U+133F0,Z5A,,Z-01-006,A diagonal stroke.,Classifier divinity (replacing G7),C
Z006,133F1,U+133F1,Z6,Z6,Z-07-004,"A slightly inclined stroke with two smaller strokes protruding at its right lower end, the upper one being shorter than the lower of them.",Classifier death,C
Z007,133F2,U+133F2,Z7,Z7,Z-07-005," A spiral, winding counterclockwise away from its central point, ending at the right lower corner after about one and a half turns.",Phonemogram,C
Z008,133F3,U+133F3,,Z8,Z-06-001,A short horizontal oval.,"Classifier round, oval",C
Z009,133F4,U+133F4,Z9,Z9,Z-02-001,A cross.,Classifier divide,C
Z010,133F5,U+133F5,Z10,Z10,Z-02-002,"Two crossed diagonal strokes with acute angles at the left and right side, and obtuse angles at the upper and lower side. ",Classifier break,C
Z011,133F6,U+133F6,Z11,Z11,Z-02-003,"A short horizontal stroke overlapped by a longer vertical stroke, the crossing point is in the middle of both strokes.",Phonemogram,C
Z012,133F7,U+133F7,Z12,Z12,T-21-003,"Two short horizontal lines, arranged vertically, connected by a downward, outward sloping line. ",Phonemogram,C
Z013,133F8,U+133F8,,US1Z13EXTU,Z-05-003,A geometrical circle.,,C
Z014,133F9,U+133F9,,Ff1,Z-01-019,A curved diagonal stroke.,Classifier semogram,C
Z015,133FA,U+133FA,,,Z-01-023,,"Logogram (one, sole)",C
Z015A,133FB,U+133FB,,,Z-01-024,,Logogram (two),C
Z015B,133FC,U+133FC,,,Z-01-025,,Logogram (three),C
Z015C,133FD,U+133FD,,,Z-01-026,,Logogram (four),C
Z015D,133FE,U+133FE,,,Z-01-027,,Logogram (five),C
Z015E,133FF,U+133FF,,,Z-01-028,,Logogram (six),C
Z015F,13400,U+13400,,,Z-01-029,,Logogram (seven),C
Z015G,13401,U+13401,,,Z-01-030,,Logogram (eight),C
Z015H,13402,U+13402,,,Z-01-031,,Logogram (nine),C
Z015I,13403,U+13403,,,Z-01-032,,Logogram (five),L
Z016,13404,U+13404,,,Z-01-034,,"Logogram (one, sole)",C
Z016A,13405,U+13405,,,Z-01-035,,Logogram (two),C
Z016B,13406,U+13406,,,Z-01-036,,Logogram (three),C
Z016C,13407,U+13407,,,Z-01-037,,Logogram (four),C
Z016D,13408,U+13408,,,Z-01-038,,Logogram (five),C
Z016E,13409,U+13409,,,Z-01-039,,Logogram (six),C
Z016F,1340A,U+1340A,,,Z-01-040,,Logogram (seven),C
Z016G,1340B,U+1340B,,,Z-01-041,,Logogram ḫmn (eight)/Logogram ḫmnw (Hermopolis),C
Z016H,1340C,U+1340C,,,Z-01-042,,Logogram (nine),C
Aa001,1340D,U+1340D,,Aa1,F-31-003,A human placenta (a circle with lines written horizontally).,Phonemogram,C
Aa002,1340E,U+1340E,Aa2,Aa2,F-30-003,"A pustule or gland, or a packet of mummy bandages.",Classifier bad/evil,C
Aa003,1340F,U+1340F,Aa3,Aa3,F-30-008,"A pustule or gland, with a forward, downward line of fluid issuing forth.","Classifier efflux, smell (i.e., excrement)",C
Aa004,13410,U+13410,Aa4,Aa4,W-04-003,A spouted cup.,Phonemogram,C
Aa005,13411,U+13411,Aa5,Aa5,P-11-008,"A part of the steering gear of ships, consisting of two beams.",Classifier oar,C
