gardiner_code,unicode_cp,unicode,hieroglyphica_code,jsesh_code,category,description,function,core
HJ S124A,141BB,U+141BB,S124A,S124A,S-15-040,,,
HJ S124C,141BC,U+141BC,S124C,S124C,S-15-042,,,
HJ S124D,141BD,U+141BD,S124D,S124D,S-15-043,"A knife sharpener with a rounded body and a loop at the back (T31), on top of legs in a walking posture, feet orientated towards the reading direction (D54), written with the tip over a folded piece of cloth (S29), with the short end towards the front.",Phonemogram,C
HJ S124E,141BE,U+141BE,S124E,S124E,S-15-044,"A knife sharpener with a rounded body, without a loop at the back, on top of legs in a walking posture, feet orientated towards the reading direction (D54), written with the tip over a folded piece of cloth (S29).",Phonemogram,C
S032B,141BF,U+141BF,,,S-15-051,"A rectangular piece of cloth, with sloping fringes on its front short side, with a cross shape as internal decoration.",Phonemogram,C
HJ S032A,141C0,U+141C0,S32A,S32A,S-15-056,"A square piece of cloth, with long sloping fringes on its front short side, with a cross shape as internal decoration.",Phonemogram,C
S128A,141C1,U+141C1,,,S-15-060,"A rectangular piece of cloth, with fringes at the short sides, and a stripe over the middle, written horizontally.",Phonemogram,C
HJ S129,141C2,U+141C2,S129,S129,S-15-061,"A rectangular piece of cloth, with fringes at the top and far side.",Classifier cloth,C
HJ S130,141C3,U+141C3,S130,S130,S-15-063,"An oval piece of cloth, with fringes on the top.",Classifier cloth,C
HJ S106,141C4,U+141C4,S106,S106,S-15-064,,,
HJ S133,141C5,U+141C5,S133,S133,S-17-005,"A tie or strap, used with sandals (ankh sign, S34), with the sun, within a halo (N5) on top of the loop.",classifier time,C
S134,141C6,U+141C6,S134B,S134,S-17-007,"A vessel with a spout and broad rim, made to resemble a tie or strap, used with sandals (ankh sign, S34).",Classifier ankh vessel,C
HJ S135,141C7,U+141C7,S135,S135,S-17-009,"A tie or strap, used with sandals (ankh sign, S34), with a column imitating a bundle of stalks tied together (R11) replacing the vertical strap.",Logogram (stability and life),C
HJ S176,141C8,U+141C8,S176,S176,S-17-012,"A tie or strap, used with sandals (ankh sign, S34), a column imitating a bundle of stalks tied together (R11) and a sceptre with a straight shaft, a forked base, topped with the head of the Seth animal (S40), arranged horizontally; on top of a wickerwork basket.","Logogram (all life, stability and dominion)",C
S176A,141C9,U+141C9,,,S-17-013,"A tie or strap, used with sandals (ankh sign, S34) and a sceptre with a straight shaft, a forked base, topped with the head of the Seth animal (S40), arranged horizontally; on top of a wickerwork basket.",Logogram (all life and dominion),C
HJ S036D,141CA,U+141CA,S36D,S36D,S-20-003,,,
HJ S036B,141CB,U+141CB,S36B,S36B,S-20-004,"A sun shade, made of a staff which holds feathers at the top, resembling a half circle, without internal detail, with outwards angled lines coming from the tip of the staff.",Phonemogram,C
HJ S036A,141CC,U+141CC,S36A,S36A,S-20-005,"A sun shade, made of a staff which holds feathers at the top, resembling a half circle, without internal detail, with an additional short staff.","Logogram (shadow, shade)",C
HJ S036C,141CD,U+141CD,S36C,S36C,S-20-006,"A sun shade, made of a staff which holds feathers at the top, resembling a half circle, without internal detail, with strokes on top of the feathers, with an additional short staff.",Phono-repeater/classifier (in ḥp.ty (extreme limits)),C
S036F,141CE,U+141CE,,,S-20-012,"A line with a straight hook, written over a sun shade, made of a staff which holds feathers at the top, resembling a half circle, without internal detail (S36).",Phonemogram,C
HJ S037C,141CF,U+141CF,S37C,S37C,S-21-003,A one handed fan with a straight handle.,Phonemogram,C
HJ S037D,141D0,U+141D0,S37D,S37D,S-21-004,"A one handed fan, with a handle consisting of a bowl-shaped section with a vertical downward line at either side, with a straight handle section.",Phonemogram,C
HJ S037B,141D1,U+141D1,S37B,S37B,S-21-005,,,
HJ S037A,141D2,U+141D2,S37A,S37A,S-21-009,"A one handed fan, with a handle resembling a stem of papyrus with a bud (M13), and the fan resembling a feather (H6).",Logogram (fan),C
HJ S198,141D3,U+141D3,S198,S198,S-22-005,,,
HJ S151,141D4,U+141D4,S151,S151,S-23-011,"Two sceptres with a straight shaft, a forked base, topped with the head of the Seth animal (S40), written on top of a standard used for the carrying of religious symbols with the vertical stick at the far side (R92A).",Logogram (Igai (divinity)),C
HJ S152,141D5,U+141D5,S152,S152,S-23-012,"A sceptre with a straight shaft, a forked base, topped with the head of the Seth animal (S40), under a crescent moon (N11) shape topped with a feather (H6).",Phonemogram/Logogram (iatet drink),C
HJ S152A,141D6,U+141D6,S152A,S152A,S-23-013,"A sceptre with a straight shaft, a forked base, topped with the head of the Seth animal (S40), under a crescent moon (N11) shape topped with a feather (H6), written on top of a standard used for the carrying of religious symbols with the vertical stick at the far side (R92A).",Phonemogram/Logogram (iatet drink),C
HJ S152B,141D7,U+141D7,S152B,S152B,S-23-014,"A sceptre with a straight shaft, a forked base, topped with the head of the Seth animal (S40), under a double crescent moon (N11), arranged vertically, topped with a feather (H6), written on top of a standard used for the carrying of religious symbols (R12).",Logogram (Iat (divinity),C
HJ S042A,141D8,U+141D8,S42A,S42A,S-24-002,A sceptre with two extensions at the top.,"Logogram (district, region)",C
HJ S153,141D9,U+141D9,S153,S153,S-24-007,,,
HJ S044A,141DA,U+141DA,S44A,S44A,S-24-008,"A sceptre (S42), with a flagellum (S45) at the back of the headpiece.",Phonemogram,C
HJ S043A,141DB,U+141DB,S43A,S43A,S-25-002,"A staff which widens towards the bottom, with a vertical stroke just above the base, extending beyond the staff.",Phonemogram,C
HJ S043B,141DC,U+141DC,S43B,S43B,S-25-003,"A staff which widens towards the bottom, without internal detail.",Phonemogram,C
S043E,141DD,U+141DD,,,S-25-005,"A sceptre or staff, with a cone shape above the handle.",Classifier sceptre,C
HJ S168,141DE,U+141DE,S168,S168,S-25-008,"A sceptre, with a short handle with a crossbar, with a long oval shape above the handle.","Logogram (Hetes-staff, baton)",C
S044C,141DF,U+141DF,S199B,S44,S-25-013,"A staff, which widens towards the bottom (S43) with a flagellum (S45) attached to the back.",Logogram (ames-sceptre),C
S044D,141E0,U+141E0,S44,,S-25-015,"A staff, which widens towards the bottom, with a circle on top, with a flagellum (S45) attached to the back.","Classifier staff, sceptre",C
HJ S109A,141E1,U+141E1,S109A,S109A,S-25-017,A type of garment.,Classifier clothing,C
HJ U026A,141E2,U+141E2,U26A,U26A,S-25-023,"An object resembling a drill, with a crossbar on the lower section.",Phonemogram,C
S167,141E3,U+141E3,,S167,S-26-009,"A flagellum (S45), written through a cartouche in a round form (V9).",Phonemogram,C
S167C,141E4,U+141E4,,,S-26-010,A circle with a flagellum (S45) coming from the top.,Phonemogram,C
HJ AA021A,141E5,U+141E5,Aa21A,Aa21A,S-27-002,"An object consisting of a horizontal rectangle with a triangular indentation at the bottom, with a vertical line on top of it, with a horizontal line on top of the vertical line, to the same width of the rectangle.","Logogram (to judge, to separate)",C
Aa021D,141E6,U+141E6,,,S-27-004,"An object consisting of a horizontal rectangle with a triangular indentation at the bottom, with a vertical line on top of it, with a half-circle on top of the vertical line.","Logogram (to judge, to separate)",C
Aa021E,141E7,U+141E7,,,S-27-007,"An object consisting of a horizontal rectangle with a triangular indentation at the bottom, with a vertical line on top of it, with a short horizontal line crossing the vertical line.","Logogram (to judge, to separate)",C
HJ AA042,141E8,U+141E8,Aa42,Aa42,S-27-009,"An object consisting of two connected triangles, arranged horizontally with the points down, with a vertical line on the top, with a half-circle on top of the vertical line. ","Logogram (to judge, to separate)",C
HJ AA020B,141E9,U+141E9,Aa20B,Aa20B,S-28-002,"A type of ornament, with a tie and a loop at the top, and fringes at the bottom.",Phonemogram,C
HJ T137,141EA,U+141EA,T137,T137,S-28-009,"A type of ornament, with two ties at the top, with a broad base.",Phonemogram,C
HJ AA020C,141EB,U+141EB,Aa20C,Aa20C,S-28-013,"A type of ornament, with two ties at the top, and fringes at the bottom.",Logogram (counterweight),C
HJ AA020A,141EC,U+141EC,Aa20A,Aa20A,S-28-014,"A type of ornament, with two ties at the top, with two horizontal lines at the bottom, with the vertical lines extending beyond the horizontal lines.",Phonemogram,C
Aa020D,141ED,U+141ED,,,S-28-021,"A cone-shaped object with two ties at the top, with a forward, downward dotted line coming from the top","Classifier to spit, to expel",C
S221,141EE,U+141EE,,,S-28-022,"Some type of cone-shaped ornament, with netting as internal decoration, on top of a base, with a two ties at the top, the front short and angled upwards, the tie at the back forming a curl.",Phonemogram,C
HJ AA041,141EF,U+141EF,Aa41,Aa41,S-28-023,,,
S222,141F0,U+141F0,,,S-28-024,"A type of ornament, with two ties at the top, connected to a circle, with an oval passing over the vertical lines.",Phonemogram,C
HJ S089,141F1,U+141F1,S89,S89,S-29-001,The curl of the red crown.,Classifier (curl),C
HJ S107,141F2,U+141F2,S107,S107,S-29-002,A bracelet.,Classifier (bracelet),C
HJ S112,141F3,U+141F3,S112,S112,S-29-004,A rectangular/square piece of cloth with wavy fringes on top.,Classifier cloth/garment,C
HJ S088,141F4,U+141F4,S88,S88,S-29-005,A vertical piece of cloth which bends forward towards the top.,Classifier cloth,C
HJ S104,141F5,U+141F5,S104,S104,S-29-009,"An necklace, resembling the sun, with three beams of sunlight coming from it, with an arm at either side, holding a staff or line at an outwards angle, connected to a base, with the head of a canine on the front staff.","Classifier dignity, rank",C
HJ S203,141F6,U+141F6,S203,S203,S-29-014,"A birthing brick, with the head of a female on top of it, in the front, with a headdress of bovine horns with a sun disk (F102).","Logogram (abode, birth place, birthing brick)",C
