image_id,component_count,relation_count
hiero_0997,3,3
hiero_0998,3,3
hiero_0999,3,3
hiero_1000,3,3
hiero_1001,3,3
hiero_1002,3,3
hiero_1003,3,3
hiero_1004,3,3
hiero_1005,2,1
hiero_1006,2,1
hiero_1007,1,0
hiero_1008,1,0
hiero_1009,3,3
hiero_1010,1,0
hiero_1011,1,0
hiero_1012,1,0
hiero_1013,1,0
hiero_1014,2,1
hiero_1015,1,0
hiero_1016,1,0
hiero_1017,1,0
hiero_1018,1,0
hiero_1019,2,1
hiero_1020,3,3
hiero_1021,4,6
hiero_1022,5,10
hiero_1023,6,15
hiero_1024,7,21
hiero_1025,8,28
hiero_1026,9,36
hiero_1027,5,10
hiero_1028,1,0
hiero_1029,2,1
hiero_1030,3,3
hiero_1031,4,6
hiero_1032,5,10
hiero_1033,6,15
hiero_1034,7,21
hiero_1035,8,28
hiero_1036,9,36
hiero_1037,1,0
hiero_1038,1,0
hiero_1039,1,0
hiero_1040,1,0
hiero_1041,2,1
hiero_1042,1,0
hiero_1043,1,0
hiero_1044,1,0
hiero_1045,2,1
hiero_1046,1,0
hiero_1047,1,0
hiero_1048,1,0
hiero_1049,1,0
hiero_1050,1,0
hiero_1051,1,0
hiero_1052,1,0
hiero_1053,1,0
hiero_1054,1,0
hiero_1055,2,1
hiero_1056,1,0
hiero_1057,1,0
hiero_1058,1,0
hiero_1059,1,0
hiero_1060,1,0
hiero_1061,1,0
hiero_1062,1,0
hiero_1063,1,0
hiero_1064,2,1
hiero_1065,1,0
hiero_1066,2,1
hiero_1067,2,1
hiero_1068,1,0
hiero_1069,1,0
hiero_1070,2,1
hiero_1071,1,0
