image_id,component_count,relation_count
hiero_0460,2,1
hiero_0461,1,0
hiero_0462,1,0
hiero_0463,1,0
hiero_0464,1,0
hiero_0465,1,0
hiero_0466,2,1
hiero_0467,1,0
hiero_0468,1,0
hiero_0469,1,0
hiero_0470,1,0
hiero_0471,1,0
hiero_0472,1,0
hiero_0473,1,0
hiero_0474,1,0
hiero_0475,1,0
hiero_0476,1,0
hiero_0477,1,0
hiero_0478,1,0
hiero_0479,1,0
hiero_0480,3,3
hiero_0481,3,3
hiero_0482,3,3
hiero_0483,1,0
hiero_0484,1,0
hiero_0485,1,0
hiero_0486,1,0
hiero_0487,1,0
hiero_0488,1,0
hiero_0489,1,0
hiero_0490,1,0
hiero_0491,1,0
hiero_0492,1,0
hiero_0493,1,0
hiero_0494,1,0
hiero_0495,2,1
hiero_0496,1,0
hiero_0497,1,0
hiero_0498,1,0
hiero_0499,2,1
hiero_0500,2,1
hiero_0501,2,1
hiero_0502,2,1
hiero_0503,1,0
hiero_0504,1,0
hiero_0505,2,1
hiero_0506,2,1
hiero_0507,1,0
hiero_0508,1,0
hiero_0509,2,1
hiero_0510,5,10
hiero_0511,2,1
hiero_0512,2,1
hiero_0513,2,1
hiero_0514,3,3
hiero_0515,4,6
hiero_0516,4,6
hiero_0517,1,0
hiero_0518,3,3
hiero_0519,1,0
hiero_0520,1,0
hiero_0521,2,1
hiero_0522,1,0
hiero_0523,2,1
hiero_0524,2,1
hiero_0525,2,1
hiero_0526,1,0
hiero_0527,2,1
hiero_0528,5,10
hiero_0529,1,0
hiero_0530,1,0
hiero_0531,3,3
hiero_0532,1,0
hiero_0533,1,0
hiero_0534,1,0
hiero_0535,3,3
hiero_0536,5,10
hiero_0537,3,3
hiero_0538,3,3
hiero_0539,3,3
hiero_0540,1,0
hiero_0541,3,3
hiero_0542,1,0
hiero_0543,1,0
hiero_0544,1,0
hiero_0545,2,1
hiero_0546,1,0
hiero_0547,2,1
hiero_0548,1,0
hiero_0549,3,3
hiero_0550,1,0
hiero_0551,1,0
hiero_0552,1,0
hiero_0553,1,0
hiero_0554,2,1
hiero_0555,1,0
hiero_0556,2,1
hiero_0557,1,0
hiero_0558,2,1
hiero_0559,1,0
hiero_0560,2,1
hiero_0561,4,6
hiero_0562,5,10
hiero_0563,3,3
hiero_0564,1,0
hiero_0565,1,0
hiero_0566,3,3
hiero_0567,1,0
hiero_0568,5,10
hiero_0569,1,0
hiero_0570,1,0
hiero_0571,1,0
hiero_0572,1,0
hiero_0573,1,0
hiero_0574,4,6
hiero_0575,1,0
hiero_0576,1,0
hiero_0577,1,0
hiero_0578,5,10
hiero_0579,3,3
hiero_0580,4,6
hiero_0581,4,6
hiero_0582,1,0
hiero_0583,1,0
hiero_0584,1,0
hiero_0585,1,0
hiero_0586,1,0
hiero_0587,1,0
hiero_0588,4,6
hiero_0589,3,3
hiero_0590,1,0
hiero_0591,2,1
hiero_0592,2,1
hiero_0593,2,1
hiero_0594,2,1
hiero_0595,4,6
hiero_0596,1,0
hiero_0597,2,1
hiero_0598,2,1
hiero_0599,4,6
hiero_0600,2,1
hiero_0601,3,3
hiero_0602,3,3
hiero_0603,3,3
hiero_0604,3,3
hiero_0605,2,1
hiero_0606,5,10
hiero_0607,2,1
hiero_0608,3,3
hiero_0609,3,3
hiero_0610,3,3
hiero_0611,3,3
hiero_0612,4,6
hiero_0613,1,0
hiero_0614,1,0
hiero_0615,23,253
hiero_0616,9,36
hiero_0617,12,66
hiero_0618,5,10
hiero_0619,4,6
hiero_0620,1,0
hiero_0621,1,0
hiero_0622,1,0
hiero_0623,1,0
hiero_0624,1,0
hiero_0625,1,0
hiero_0626,1,0
hiero_0627,2,1
hiero_0628,1,0
hiero_0629,1,0
hiero_0630,1,0
hiero_0631,1,0
hiero_0632,1,0
hiero_0633,2,1
hiero_0634,1,0
hiero_0635,1,0
hiero_0636,1,0
hiero_0637,1,0
hiero_0638,2,1
hiero_0639,2,1
hiero_0640,2,1
hiero_0641,3,3
hiero_0642,1,0
hiero_0643,1,0
hiero_0644,1,0
hiero_0645,3,3
hiero_0646,1,0
hiero_0647,1,0
hiero_0648,1,0
hiero_0649,1,0
hiero_0650,3,3
hiero_0651,1,0
hiero_0652,1,0
hiero_0653,1,0
hiero_0654,2,1
hiero_0655,2,1
hiero_0656,2,1
hiero_0657,1,0
hiero_0658,1,0
hiero_0659,1,0
