value,count
124.66666666666667,1
125.0,3
125.33333333333333,1
126.0,2
126.5,1
127.0,2
128.0,2
128.33333333333334,1
129.0,5
129.33333333333334,1
129.5,1
130.0,1
130.5,1
130.66666666666666,2
131.0,2
131.75,1
132.0,2
132.33333333333334,2
132.6,1
133.0,4
134.0,5
134.33333333333334,1
134.5,1
135.0,1
135.33333333333334,1
135.66666666666666,1
135.75,1
136.0,5
136.33333333333334,2
136.5,1
137.0,2
137.5,2
138.0,1
138.5,2
139.0,4
139.6,1
139.66666666666666,1
140.0,4
141.0,3
142.0,4
142.5,2
142.6,1
143.0,4
144.0,2
144.66666666666666,1
145.0,2
145.5,2
145.66666666666666,3
146.0,4
147.0,3
147.5,2
147.8,1
148.0,4
148.66666666666666,1
149.0,3
149.25,1
149.66666666666666,1
150.0,6
150.33333333333334,1
150.5,1
150.75,1
151.0,3
151.6,1
151.75,1
152.0,2
152.33333333333334,1
152.5,1
153.0,3
153.5,3
154.0,2
154.33333333333334,1
154.5,1
155.33333333333334,1
155.5,1
155.66666666666666,1
156.0,3
157.0,5
158.0,4
159.0,3
159.33333333333334,1
160.0,2
160.5,1
160.6,1
161.0,5
161.5,2
161.66666666666666,1
162.0,5
163.0,5
163.33333333333334,1
163.5,1
164.0,4
164.6,1
165.0,5
165.4,1
165.5,1
166.0,4
167.0,3
168.0,5
169.0,5
170.0,4
170.2,1
170.66666666666666,1
171.5,1
172.0,1
172.25,1
173.0,3
173.5,1
174.0,4
174.25,1
175.0,4
176.0,4
177.0,1
178.0,8
178.5,1
178.66666666666666,1
179.0,7
180.0,3
181.0,3
182.0,1
183.0,3
183.5,1
184.0,3
184.25,1
184.5,1
184.75,1
185.0,1
186.0,3
186.5,2
187.5,1
188.0,4
189.0,4
190.0,3
191.0,2
191.5,1
192.0,3
193.0,4
194.0,2
195.0,4
195.25,1
195.5,1
196.0,4
197.0,3
198.0,1
199.0,1
200.66666666666666,1
201.0,1
202.0,5
202.33333333333334,1
202.5,1
203.0,5
204.0,5
205.0,2
205.5,1
206.0,2
206.5,1
207.0,3
208.0,2
208.5,1
208.66666666666666,1
209.0,2
210.5,2
211.0,2
212.0,4
212.66666666666666,1
213.0,5
213.5,1
214.0,1
215.0,1
216.0,1
217.0,2
219.0,2
220.0,4
221.0,2
221.5,1
222.0,2
224.0,2
225.0,3
226.0,1
226.5,1
228.0,4
228.33333333333334,1
229.0,1
230.0,1
232.5,1
233.0,1
234.0,2
234.5,1
235.0,4
235.5,1
236.0,3
236.5,1
237.0,1
237.5,1
238.0,1
238.33333333333334,1
238.66666666666666,1
239.0,1
240.0,4
241.0,1
241.5,1
242.0,1
243.0,1
243.5,1
244.0,4
245.0,2
246.0,1
248.0,3
249.0,3
250.0,1
251.0,2
251.5,2
251.66666666666666,1
252.0,1
253.0,2
254.5,2
254.66666666666666,1
255.0,2
257.0,3
259.0,1
260.3333333333333,1
260.5,1
261.0,1
261.5,2
262.0,4
264.0,2
265.0,2
267.0,1
269.0,1
270.0,1
271.0,1
272.0,5
273.0,5
274.0,2
276.0,3
277.0,3
278.0,1
280.0,2
281.0,2
282.5,1
284.0,2
286.0,1
288.0,1
290.0,1
292.0,1
293.0,2
294.0,3
295.0,2
296.0,2
297.0,4
298.0,1
299.0,3
300.0,3
301.0,1
302.0,1
303.0,1
305.0,3
306.0,1
307.0,1
308.0,3
309.0,1
311.0,1
312.0,1
313.0,1
317.0,1
318.0,1
319.0,5
322.0,2
323.0,1
326.0,2
327.0,2
328.0,1
329.0,1
331.0,3
332.0,1
334.0,3
335.0,1
336.0,2
337.0,1
338.0,1
339.0,1
340.0,2
341.0,1
342.0,1
343.0,1
346.0,1
347.0,1
353.0,1
357.0,4
358.0,1
359.0,1
360.0,1
360.5,1
361.0,2
362.0,1
363.0,1
364.0,1
365.0,2
367.0,1
370.0,2
373.0,1
374.0,1
375.0,2
375.5,1
377.0,3
379.0,3
381.0,2
382.0,2
383.0,1
384.5,1
385.0,2
387.0,1
388.0,1
389.0,1
390.0,1
392.0,1
393.0,1
395.0,1
396.0,1
401.0,1
402.0,1
403.0,1
403.5,1
404.0,1
406.0,1
407.0,1
409.0,1
412.0,1
416.0,1
417.0,1
417.5,1
418.0,1
419.0,1
420.0,1
421.0,1
422.0,1
431.0,1
433.0,1
435.0,1
436.0,1
438.0,1
440.0,1
445.0,1
457.0,1
465.0,1
476.0,1
481.0,1
483.0,1
484.0,1
488.0,1
489.0,1
490.0,1
492.0,1
495.0,1
500.0,1
502.0,1
504.0,1
507.0,1
511.0,1
514.0,1
516.0,1
520.0,1
526.0,1
530.0,1
534.0,1
535.0,1
541.0,1
544.0,1
545.0,1
551.0,1
561.0,1
564.0,1
565.0,1
566.0,1
570.0,1
571.0,1
580.0,1
597.0,1
627.0,1
641.0,1
645.0,1
667.0,1
676.0,1
687.0,1
693.0,1
695.0,1
738.0,1
743.0,1
788.0,1
801.0,1
826.0,1
835.0,1
901.0,1
